Date,Open,High,Low,Close,Adj Close,Volume
20-Jun-16,208.82,209.61,207.75,207.85,179.01,"82,789,600"
17-Jun-16,1.078 Dividend,,,,,
17-Jun-16,207.17,207.2,205.75,206.52,177.87,"117,055,700"
16-Jun-16,207.75,208.57,205.59,208.37,178.53,"149,533,100"
15-Jun-16,208.04,209.36,207.53,207.75,178,"109,124,500"
14-Jun-16,208,208.74,206.92,208.04,178.25,"125,059,300"
13-Jun-16,209.36,210.37,208.35,208.45,178.6,"117,751,200"
10-Jun-16,210.46,210.86,209.43,210.07,179.99,"113,829,200"
09-Jun-16,211.51,212.22,211.19,212.08,181.71,"73,786,900"
08-Jun-16,211.84,212.52,211.69,212.37,181.96,"66,170,900"
07-Jun-16,211.53,212.34,211.5,211.68,181.37,"60,974,800"
06-Jun-16,210.7,211.77,210.51,211.35,181.08,"64,887,000"
03-Jun-16,210.25,210.69,208.86,210.28,180.17,"101,757,100"
02-Jun-16,209.8,210.93,209.24,210.91,180.71,"63,044,700"
01-Jun-16,209.12,210.48,208.89,210.27,180.16,"69,936,200"
31-May-16,210.56,210.69,209.18,209.84,179.79,"109,879,400"
27-May-16,209.53,210.25,209.47,210.24,180.13,"64,211,200"
26-May-16,209.44,209.71,208.97,209.34,179.36,"55,280,700"
25-May-16,208.67,209.77,207.87,209.28,179.31,"76,621,400"
24-May-16,206.17,208.24,206.14,207.87,178.1,"93,537,800"
23-May-16,205.51,205.84,204.99,205.21,175.82,"58,682,600"
20-May-16,204.92,206.1,204.86,205.49,176.06,"104,990,400"
19-May-16,204.06,204.54,202.78,204.2,174.96,"115,430,500"
18-May-16,204.44,206.3,203.63,204.91,175.57,"120,062,100"
17-May-16,206.46,206.8,204.23,204.85,175.51,"114,924,900"
16-May-16,204.96,207.34,204.89,206.78,177.17,"77,486,800"
13-May-16,206.21,206.86,204.38,204.76,175.44,"96,474,600"
12-May-16,207.29,207.49,205.37,206.56,176.98,"89,586,300"
11-May-16,207.91,208.54,206.5,206.5,176.93,"81,727,000"
10-May-16,206.72,208.47,206.64,208.45,178.6,"77,472,200"
09-May-16,205.57,206.4,205.36,205.89,176.41,"74,374,900"
06-May-16,204.06,205.77,203.88,205.72,176.26,"89,315,000"
05-May-16,205.56,205.98,204.47,204.97,175.62,"67,619,200"
04-May-16,204.99,205.85,204.42,205.01,175.65,"92,243,800"
03-May-16,206.52,206.8,205.28,206.16,176.64,"106,422,100"
02-May-16,206.92,208.18,206.41,207.97,178.19,"62,188,000"
29-Apr-16,206.72,207.13,205.03,206.33,176.78,"142,424,100"
